Date,Energy,Agriculture,Industry and Construction,Waste,Other Sectors
1850 ,271.63,535.67,23.66,94.5600000000001,0
1851 ,274.68,552.16,28.78,95.33,0.69
1852 ,284.56,568.55,31.21,96.2,1.43
1853 ,294.75,585.37,34.87,97.1000000000001,2.21
1854 ,334.38,601.82,38.51,97.9800000000001,2.99
1855 ,340.31,618.16,43.91,98.9,3.76
1856 ,359.79,634.46,46.07,99.7400000000001,4.6
1857 ,364.07,650.16,47.4,100.59,5.31999999999999
1858 ,370.13,665.9,48.27,101.26,6.07
1859 ,389.96,681.23,52.21,102.18,6.9
1860 ,421.51,695.939999999999,54.88,103,7.61999999999999
1861 ,440.99,710.9,53.91,103.82,8.41999999999999
1862 ,449.54,725.54,56.15,104.55,9.20999999999999
1863 ,476.63,739.88,64.03,105.31,10.03
1864 ,509.48,754.7,68.52,106.1,10.78
1865 ,537.07,769.35,69.32,106.78,11.57
1866 ,554.96,783.56,70.25,107.64,12.33
1867 ,590.68,798.179999999999,84.37,108.45,13.15
1868 ,608.21,812.32,93.86,109.28,13.93
1869 ,643.589999999999,826.67,106.08,110.03,14.67
1870 ,659.74,840.47,111.57,110.93,15.48
1871 ,696.86,856.89,117.71,111.97,16.23
1872 ,762.279999999999,875.36,141.22,113.33,17.02
1873 ,807.53,896.049999999999,155.12,114.83,17.77
1874 ,769.97,918.11,149.23,116.24,18.51
1875 ,829.199999999999,940.66,151.74,117.82,19.32
1876 ,842.869999999999,963.15,150.43,119.55,20.16
1877 ,863.629999999999,985.79,164.31,121.15,20.88
1878 ,871.059999999999,1006.92,161.34,122.72,21.69
1879 ,929.439999999999,1025.75,193.08,124.21,22.46
1880 ,1032.12,1042.34,219.71,125.81,23.21
1881 ,1068.41,1056.61,231.2,127.26,24.01
1882 ,1123.75,1071.25,259.16,128.71,24.77
1883 ,1188.18,1084.94,279.62,130.04,25.55
1884 ,1205.54,1098.31,294.79,131.33,26.29
1885 ,1218.64,1110.72,300.57,132.76,27.1
1886 ,1240.94,1123.44,315.94,134.09,27.87
1887 ,1297.81,1135.58,337.65,135.62,28.61
1888 ,1420.46,1148.34,407.99,137.02,29.42
1889 ,1424.92,1160.34,371.62,138.62,30.2
1890 ,1563.11,1158.87,383.03,141.96,31.03
1891 ,1632.07,1177.33,382.18,144.14,31.8
1892 ,1656.79,1195.73,382.34,146.28,32.53
1893 ,1650.43,1213.27,382.54,148.45,33.28
1894 ,1711.05,1230.32,381.75,150.9,34.13
1895 ,1809.76,1246.42,382,153.23,34.85
1896 ,1871.97,1261.72,381.36,155.85,35.6
1897 ,1959.51,1274.2,381.64,158.32,36.44
1898 ,2065.5,1286.88,380.9,161.15,37.19
1899 ,2237.61,1296.41,381.18,163.92,37.92
1900 ,2357.26,1303.82,382.48,166.43,38.7
1901 ,2439.24,1309.61,382.81,169.25,39.52
1902 ,2515.98,1315.9,383.2,172.35,40.23
1903 ,2734.16,1322.24,383.62,175.49,41.06
1904 ,2785.26,1328.5,383.03,178.51,41.89
1905 ,2969.06,1335.27,384.51,181.78,42.65
