latitude,longitude,tas_anom,pays
-89.5,-39.5,2.0699675,ATA
-89.5,-38.5,2.0744915,ATA
-89.5,-37.5,2.0757604,ATA
-89.5,-36.5,2.0709987,ATA
-89.5,-35.5,2.0690293,ATA
-89.5,-34.5,2.068533,ATA
-89.5,-33.5,2.0700674,ATA
-89.5,-32.5,2.0762079,ATA
-89.5,-31.5,2.0767262,ATA
-89.5,-30.5,2.0753922,ATA
-89.5,-29.5,2.0743642,ATA
-89.5,-28.5,2.0749726,ATA
-89.5,-27.5,2.0698247,ATA
-89.5,-26.5,2.068694,ATA
-89.5,-25.5,2.0691333,ATA
-89.5,-24.5,2.0686052,ATA
-89.5,-23.5,2.0675292,ATA
-89.5,-22.5,2.0681775,ATA
-89.5,-21.5,2.0684764,ATA
-89.5,-20.5,2.0700743,ATA
-89.5,-19.5,2.0692677,ATA
-89.5,-18.5,2.0680668,ATA
-89.5,-17.5,2.0678082,ATA
-89.5,-16.5,2.0691051,ATA
-89.5,-15.5,2.0732267,ATA
-89.5,-14.5,2.0739715,ATA
-89.5,-13.5,2.070913,ATA
-89.5,-12.5,2.0784204,ATA
-89.5,-11.5,2.0693874,ATA
-89.5,-10.5,2.0680814,ATA
-89.5,-9.5,2.0671015,ATA
-89.5,-8.5,2.0645065,ATA
-89.5,-7.5,2.0651903,ATA
-89.5,-6.5,2.0666275,ATA
-89.5,-5.5,2.0664477,ATA
-89.5,-4.5,2.0661159,ATA
-89.5,-3.5,2.0650463,ATA
-89.5,-2.5,2.0622818,ATA
-89.5,-1.5,2.0678213,ATA
-89.5,-0.5,2.0705566,ATA
-89.5,0.5,2.070549,ATA
-89.5,1.5,2.0713878,ATA
-89.5,2.5,2.0767374,ATA
-89.5,3.5,2.0731435,ATA
-89.5,4.5,2.0692973,ATA
-89.5,5.5,2.0669315,ATA
-89.5,6.5,2.066383,ATA
-89.5,7.5,2.0697963,ATA
-89.5,8.5,2.0783453,ATA
-89.5,9.5,2.0728645,ATA
-89.5,10.5,2.068554,ATA
-89.5,11.5,2.0683086,ATA
-89.5,12.5,2.0695405,ATA
-89.5,13.5,2.072237,ATA
-89.5,14.5,2.0729482,ATA
-89.5,15.5,2.0737085,ATA
-89.5,16.5,2.0754557,ATA
-89.5,17.5,2.0769827,ATA
-89.5,18.5,2.0754921,ATA
-89.5,19.5,2.073968,ATA
-89.5,20.5,2.0723724,ATA
-89.5,21.5,2.070264,ATA
-89.5,22.5,2.0691776,ATA
-89.5,23.5,2.0659733,ATA
-89.5,24.5,2.0694273,ATA
-89.5,25.5,2.0696802,ATA
-89.5,26.5,2.0675027,ATA
-89.5,27.5,2.0725536,ATA
-89.5,28.5,2.0781012,ATA
-89.5,29.5,2.0738413,ATA
-89.5,30.5,2.0739727,ATA
-89.5,31.5,2.0811265,ATA
-89.5,32.5,2.0830784,ATA
-89.5,33.5,2.0738087,ATA
-89.5,34.5,2.0744684,ATA
-89.5,35.5,2.076531,ATA
-89.5,36.5,2.0786083,ATA
-89.5,37.5,2.080956,ATA
-89.5,38.5,2.080833,ATA
-89.5,39.5,2.0796115,ATA
-89.5,40.5,2.0806143,ATA
-89.5,41.5,2.08333,ATA
-89.5,42.5,2.0782928,ATA
-89.5,43.5,2.0826874,ATA
-89.5,44.5,2.0842307,ATA
-89.5,45.5,2.0838518,ATA
-89.5,46.5,2.0854626,ATA
-89.5,47.5,2.0895803,ATA
-89.5,48.5,2.0863485,ATA
-89.5,49.5,2.087489,ATA
-89.5,50.5,2.0881124,ATA
-89.5,51.5,2.0886028,ATA
-89.5,52.5,2.0902874,ATA
-89.5,53.5,2.0904117,ATA
-89.5,54.5,2.0915034,ATA
-89.5,55.5,2.094127,ATA
-89.5,56.5,2.0934815,ATA
-89.5,57.5,2.0890973,ATA
-89.5,58.5,2.0940888,ATA
-89.5,59.5,2.0946207,ATA
-89.5,60.5,2.0955448,ATA
-89.5,61.5,2.0985603,ATA
-89.5,62.5,2.0989187,ATA
-89.5,63.5,2.0979996,ATA
-89.5,64.5,2.1047611,ATA
-89.5,65.5,2.1077116,ATA
-89.5,66.5,2.1068406,ATA
-89.5,67.5,2.1072087,ATA
-89.5,68.5,2.107198,ATA
-89.5,69.5,2.1075573,ATA
-89.5,70.5,2.1090348,ATA
-89.5,71.5,2.1095634,ATA
-89.5,72.5,2.1089518,ATA
-89.5,73.5,2.107804,ATA
-89.5,74.5,2.1107957,ATA
-89.5,75.5,2.111478,ATA
-89.5,76.5,2.111073,ATA
-89.5,77.5,2.112635,ATA
-89.5,78.5,2.1114242,ATA
-89.5,79.5,2.1134357,ATA
-89.5,80.5,2.1155167,ATA
-89.5,81.5,2.1203885,ATA
-89.5,82.5,2.1182425,ATA
-89.5,83.5,2.1199908,ATA
-89.5,84.5,2.1209452,ATA
-89.5,85.5,2.122144,ATA
-89.5,86.5,2.1212275,ATA
-89.5,87.5,2.123129,ATA
-89.5,88.5,2.1219969,ATA
-89.5,89.5,2.1278713,ATA
-89.5,90.5,2.1294546,ATA
-89.5,91.5,2.1239417,ATA
-89.5,92.5,2.1248407,ATA
-89.5,93.5,2.1287403,ATA
-89.5,94.5,2.1261816,ATA
-89.5,95.5,2.1235912,ATA
-89.5,96.5,2.1245692,ATA
-89.5,97.5,2.1244917,ATA
-89.5,98.5,2.1167536,ATA
-89.5,99.5,2.1135445,ATA
-89.5,100.5,2.1136425,ATA
-89.5,101.5,2.118478,ATA
-89.5,102.5,2.1217504,ATA
-89.5,103.5,2.1202786,ATA
-89.5,104.5,2.1203394,ATA
-89.5,105.5,2.1221406,ATA
-89.5,106.5,2.1268194,ATA
-89.5,107.5,2.1274633,ATA
-89.5,108.5,2.1242309,ATA
-89.5,109.5,2.1264825,ATA
-89.5,110.5,2.1269975,ATA
-89.5,111.5,2.1248322,ATA
-89.5,112.5,2.124559,ATA
-89.5,113.5,2.1261525,ATA
-89.5,114.5,2.1237054,ATA
-89.5,115.5,2.123742,ATA
-89.5,116.5,2.127558,ATA
-89.5,117.5,2.1227503,ATA
-89.5,118.5,2.1256194,ATA
-89.5,119.5,2.1265826,ATA
-89.5,120.5,2.1278942,ATA
-89.5,121.5,2.1288898,ATA
-89.5,122.5,2.124324,ATA
-89.5,123.5,2.1303706,ATA
-89.5,124.5,2.1319292,ATA
-89.5,125.5,2.1306462,ATA
-89.5,126.5,2.1301012,ATA
-89.5,127.5,2.128366,ATA
-89.5,128.5,2.1278768,ATA
-89.5,129.5,2.1263635,ATA
-89.5,130.5,2.1241531,ATA
-89.5,131.5,2.1202738,ATA
-89.5,132.5,2.1191945,ATA
-89.5,133.5,2.1242518,ATA
-89.5,134.5,2.125416,ATA
-89.5,135.5,2.124277,ATA
-89.5,136.5,2.118045,ATA
-89.5,137.5,2.1147995,ATA
-89.5,138.5,2.119745,ATA
-89.5,139.5,2.120606,ATA
-89.5,140.5,2.117509,ATA
-89.5,141.5,2.1124887,ATA
-89.5,142.5,2.1192834,ATA
-89.5,143.5,2.115894,ATA
-89.5,144.5,2.114881,ATA
-89.5,145.5,2.1133728,ATA
-89.5,146.5,2.1128178,ATA
-89.5,147.5,2.1146777,ATA
-89.5,148.5,2.1125565,ATA
-89.5,149.5,2.1114492,ATA
-89.5,150.5,2.1115892,ATA
-89.5,151.5,2.111024,ATA
-89.5,152.5,2.1108654,ATA
-89.5,153.5,2.1100788,ATA
-89.5,154.5,2.1112347,ATA
-89.5,155.5,2.1090922,ATA
-89.5,156.5,2.106343,ATA
-89.5,157.5,2.105864,ATA
-89.5,158.5,2.1040497,ATA
-89.5,159.5,2.102228,ATA
-89.5,160.5,2.1005235,ATA
-89.5,161.5,2.0947244,ATA
-89.5,162.5,2.0998223,ATA
-89.5,163.5,2.1027322,ATA
-89.5,164.5,2.1012447,ATA
-89.5,165.5,2.0991943,ATA
-89.5,166.5,2.0991113,ATA
-89.5,167.5,2.1007864,ATA
-89.5,168.5,2.1009903,ATA
-89.5,169.5,2.0972805,ATA
-89.5,170.5,2.0957553,ATA
-89.5,171.5,2.0962262,ATA
-89.5,172.5,2.0946426,ATA
-89.5,173.5,2.092826,ATA
-89.5,174.5,2.0913098,ATA
-89.5,175.5,2.0924363,ATA
-89.5,176.5,2.0910451,ATA
-89.5,177.5,2.0832698,ATA
-89.5,178.5,2.0862777,ATA
-89.5,179.5,2.087675,ATA
-88.5,-179.5,2.0463762,ATA
-88.5,-178.5,2.0452297,ATA
-88.5,-177.5,2.041599,ATA
-88.5,-176.5,2.0411093,ATA
-88.5,-175.5,2.0364518,ATA
-88.5,-174.5,2.035171,ATA
-88.5,-173.5,2.0365334,ATA
-88.5,-172.5,2.0347838,ATA
-88.5,-171.5,2.0302308,ATA
-88.5,-170.5,2.0290928,ATA
-88.5,-169.5,2.0288274,ATA
-88.5,-168.5,2.0257297,ATA
-88.5,-167.5,2.0189152,ATA
-88.5,-166.5,2.0201242,ATA
-88.5,-165.5,2.0208983,ATA
-88.5,-164.5,2.0193427,ATA
-88.5,-163.5,2.0171034,ATA
-88.5,-162.5,2.0222778,ATA
-88.5,-161.5,2.0251873,ATA
-88.5,-160.5,2.025537,ATA
-88.5,-159.5,2.0250742,ATA
-88.5,-158.5,2.0226364,ATA
-88.5,-157.5,2.0242674,ATA
-88.5,-156.5,2.0214674,ATA
-88.5,-155.5,2.0179005,ATA
-88.5,-154.5,2.0112057,ATA
-88.5,-153.5,2.0094092,ATA
-88.5,-152.5,2.0080185,ATA
-88.5,-151.5,2.0078862,ATA
-88.5,-150.5,2.005429,ATA
-88.5,-149.5,2.0052876,ATA
-88.5,-148.5,2.0069895,ATA
-88.5,-147.5,2.0082881,ATA
-88.5,-146.5,2.0083325,ATA
-88.5,-145.5,2.011747,ATA
-88.5,-144.5,2.017238,ATA
-88.5,-143.5,2.0181854,ATA
-88.5,-142.5,2.0218902,ATA
-88.5,-141.5,2.0162525,ATA
-88.5,-140.5,2.0172698,ATA
-88.5,-139.5,2.0202353,ATA
-88.5,-138.5,2.0245528,ATA
-88.5,-137.5,2.0223026,ATA
-88.5,-136.5,2.0281718,ATA
-88.5,-135.5,2.0282288,ATA
-88.5,-134.5,2.0228772,ATA
-88.5,-133.5,2.0207946,ATA
-88.5,-132.5,2.0250554,ATA
-88.5,-131.5,2.0244482,ATA
-88.5,-130.5,2.0248954,ATA
-88.5,-129.5,2.0272975,ATA
-88.5,-128.5,2.0352407,ATA
-88.5,-127.5,2.0306807,ATA
