;"Oil";"Coal";"Gas";"Hydroelectricity";"Nuclear";"Biomass and Waste";"Wind";"Fuel Ethanol";"Solar, Tide, Wave, Fuel Cell";"Geothermal";"Biodiesel"
"1950-01-01 00:00:00";520,686;974,42610335;183,717434055555;78,1921139909102;0;;;;;0,313966343201081;
"1951-01-01 00:00:00";590,476;1026,57079875;217,9285689;88,4879007492937;0;;;;;0,389387053187569;
"1952-01-01 00:00:00";620,662;1020,67938875;234,705652455555;94,4562093108955;0;;;;;0,451787249723621;
"1953-01-01 00:00:00";656,278;1025,209402;248,180991877778;97,9941039184376;0;;;;;0,461859722392827;
"1954-01-01 00:00:00";687,076;1011,98951175;260,326583533333;103,943987225157;0;;;;;0,462105392457929;
"1955-01-01 00:00:00";770,033;1099,5599398;283,195437077778;112,430168283995;0;;;;;0,456700651025673;
"1956-01-01 00:00:00";837,993;1162,002618;307,115205211111;123,73762437047;0,0151124312775216;;;;;0,437047045817467;
"1957-01-01 00:00:00";883,127;1194,6481323;333,681497877778;134,418130450805;0,109174288022095;;;;;0,445154157965852;
"1958-01-01 00:00:00";905,243;1232,3996531;358,903445833333;147,561478933792;0,123505041819745;;;;;0,474143225647955;
"1959-01-01 00:00:00";976,858;1277,29101115;400,6600024;151,725340867215;0,372599598738894;;;;;0,512222085738853;
"1960-01-01 00:00:00";1052,523;1330,6792898;436,141316722222;165,348237317283;0,710544829203471;;;;;0,56651517012652;
"1961-01-01 00:00:00";1120,326;1253,6143025;468,567032344445;174,220611718462;1,13551681909377;;;;;0,680506080334111;
"1962-01-01 00:00:00";1215,277;1283,8135184;512,639268633333;183,06694509274;1,68868391568306;;;;;0,72153298120624;
"1963-01-01 00:00:00";1303,873;1322,75106425;560,9203845;192,133153175286;2,90601631100341;;;;;0,824468738484216;
"1964-01-01 00:00:00";1408,146;1381,29555165;612,863838222222;199,350202677804;4,04153313009719;;;;;0,917577693158089;
"1965-01-01 00:00:00";1510,753;1408,5604169;656,791514322222;220,123572042747;6,43398733682483;;;;;0,972607787741064;
"1966-01-01 00:00:00";1639,315;1428,0930888;706,710103711111;235,778896941408;9,16725292477657;;;;;1,00135118535806;
"1967-01-01 00:00:00";1760,558;1377,37110595;760,544706522222;240,140768947304;11,0555251569869;;;;;1,0625230315686;
"1968-01-01 00:00:00";1922,575;1415,7147207;831,949547411111;251,178233632232;13,743714010266;;;;;1,07603488514924;
"1969-01-01 00:00:00";2069,273;1444,3498594;913,650738933333;265,743766122098;15,8628416581985;;;;;1,18191868320845;
"1970-01-01 00:00:00";2275,601;1502,1222503;1011,40621298889;278,223805429309;19,890044034498;;;;;1,16668713917209;
"1971-01-01 00:00:00";2414,085;1488,4740927;1081,41979174444;291,474511730746;27,9486177336564;;;;;1,14138312246653;
"1972-01-01 00:00:00";2548,058;1483,3441329;1145,8652856;305,296155263481;38,2993303629589;;;;;1,34627195676207;
"1973-01-01 00:00:00";2780,383;1509,7483107;1210,29415126667;309,786021373296;51,0320748325907;;;;;1,49023461491217;
"1974-01-01 00:00:00";2790,03;1523,0227446;1237,46876151111;340,960815624616;65,9691497954611;;;;;1,69782581992384;
"1975-01-01 00:00:00";2648,836;1613,72985515;1241,61999344444;343,398845350694;90,9687589567211;;;;;1,94988330671908;
"1976-01-01 00:00:00";2873,32;1659,4597789;1294,76566807778;344,577324652991;106,017613799213;;;;;2,11964132170495;
"1977-01-01 00:00:00";2976,959;1709,8870635;1417,27655237778;352,261147279204;131,001849970036;;;;;2,18326986856652;
"1978-01-01 00:00:00";3009,899;1736,4391275;1374,02265466667;380,383982311755;153,481852054509;;;;;2,0673135978381;
"1979-01-01 00:00:00";3125,15;1838,36164785;1481,54562406667;398,678872620071;159,550796008234;;;;;2,69082422306842;
"1980-01-01 00:00:00";3358,036227003;1802,92985468396;1381,178927509;423,26007167856;178,32164418835;4,2551262833;0;1,893006705;0,11546493;3,25170845306;
"1981-01-01 00:00:00";3164,7815153018;1812,53967028548;1401,6715145851;429,12729287786;202,882407763;4,2892253585;0;2,2886042161;0,13020514;3,5971411691;
"1982-01-01 00:00:00";3021,736509185;1882,3061059499;1399,7038547441;439,79854969486;225,7542459298;6,5096537211;0;3,3992071688;0,14003193;3,846177389;
"1983-01-01 00:00:00";3009,40740484;1888,34028158766;1415,3522461921;459,88671849304;255,797373911;6,7459544664;0,00728853962;4,8087060598;0,140044213504;4,368775567;
"1984-01-01 00:00:00";3092,041498648;1990,47240262764;1557,6706827624;475,09970972454;311,851178115;7,4589188557;0,0124038819;6,6870612711;0,143544520564;4,97395993771;
"1985-01-01 00:00:00";3056,1382716818;2087,8756632443;1617,3438291807;479,54343417105;371,436652549;7,5774391414;0,01787544536;7,1793602092;0,147814757564;5,47800756254;
"1986-01-01 00:00:00";3192,680707025;2141,58789358979;1647,7141828577;489,29743511756;395,441199281;8,200043706;0,03665127248;6,6870611111;0,148908491227;6,11176860708;
"1987-01-01 00:00:00";3214,541688028;2197,51971230642;1726,5942836307;490,384246818;430,958970629;9,1362685619;0,05049527193;7,3639719621;0,142880967567;6,55459064098;
"1988-01-01 00:00:00";3342,234853551;2248,11365926165;1812,2693444549;509,15263921746;467,663664913;9,6681101804;0,08423314112;7,5397932621;0,140325262027;6,68519311522;
"1989-01-01 00:00:00";3393,612184488;2291,14039590735;1873,3668677831;506,05157590005;480,311843815;18,5735891438;0,63823684661;7,6599377121;0,210513944877;8,07159894176;
"1990-01-01 00:00:00";3436,137328316;2327,71962187585;1909,5672626602;526,83138871415;497,357242207;21,6277987835;0,86859105921;7,4753255801;0,255102815227;8,79996825307;
"1991-01-01 00:00:00";3423,2790197868;2215,10955660435;1930,6451847249;536,321638996441;520,1125582;23,4931454744;1,00649822901;8,2079130801;0,281249730267;9,10488716318;
"1992-01-01 00:00:00";3431,931157166;2297,19597670979;1941,6902213266;537,56814623244;525,18377106;26,26748294288;1,13287628646;7,8855745802;0,276080088684;9,38385011318;
"1993-01-01 00:00:00";3435,319200037;2243,88098178068;1973,9110503733;568,3644259027;542,387004919;27,13443090417;1,36542193283;7,9881371231;0,291085131064;9,62352661016;
"1994-01-01 00:00:00";3501,8456846638;2289,80737465969;1994,95156926785;574,00902068319;553,729959751;28,60847476818;1,78956242873;8,8672424261;0,304196532034;9,58763133376;
"1995-01-01 00:00:00";3577,5352384982;2322,50727096712;2024,2961792686;602,6795462273;575,847319885;30,5097093631;1,94952044048;9,1251129238;0,317034271901;9,39743474466;
"1996-01-01 00:00:00";3666,824567711;2380,5679940882;2080,1195008574;611,63520909478;597,07985083;31,201788127;2,28194299504;9,0518546798;0,328040774491;9,99623729492;
"1997-01-01 00:00:00";3769,856384866;2385,09042959646;2085,2098741758;625,43192391436;591,809849905;33,55749311299;2,98110433413;10,3822335818;0,3461562517208;10,34936781382;
"1998-01-01 00:00:00";3842,6329610391;2381,92522164616;2125,0622276234;626,72753434659;603,457368544;34,84148224437;3,957411151819;9,9163081368;0,370719795393;10,98290589842;
"1999-01-01 00:00:00";3789,862617571;2350,36530666918;2173,5667488875;636,87944609939;623,55246413017;36,48177750717;5,21848908656;9,5236409502;0,392819552643;11,76342298422;
"2000-01-01 00:00:00";3945,0068989251;2424,51066686777;2251,9200803586;644,40290255666;638,341163519;38,0718400767;7,7052728800261;8,7892946936;0,441086338607;12,66752464622;0,676141889
"2001-01-01 00:00:00";3925,94227658755;2533,51674486729;2297,003363322;630,91772880231;655,7977084;41,31327087629;9,4257130383661;9,48027162834;0,50626679172;12,569610934927;0,8998085874
"2002-01-01 00:00:00";3883,98679411045;2554,3020229285;2346,0283586071;640,24373227154;663,28538127;44,90032063538;12,9631157805961;11,08903449504;0,596689109237;12,76361895713;1,16332393304
"2003-01-01 00:00:00";4012,21305630157;2750,526326564;2421,7522863047;642,94635206057;656,02230695;47,25627995369;15,798071903273;13,63257931334;0,710959600894;13,18394088933;1,4041298467
"2004-01-01 00:00:00";4210,10500355011;2974,4118486716;2489,1711286437;684,84307515477;682,37552231;50,41433967926;20,6697634365841;14,9620793576;0,86431446424;13,720470358254;1,7837633976
"2005-01-01 00:00:00";4281,93671075038;3174,9646903396;2573,9898595691;714,08101281545;683,9617012;54,07561113088;25,5543305550841;17,14958592318;7,6175763672766;13,902701063254;2,78726418562
"2006-01-01 00:00:00";4274,05582475648;3348,2030125207;2672,6382258751;740,10274887075;693,02464698;57,48371540078;32,3861407789691;20,988361326935;8,307113485491;14,248232281359;4,82297399974
"2007-01-01 00:00:00";4264,98129047048;3493,382142911;2730,179771205;749,78884571041;679,55029664;61,29579032659;41,9023409107005;27,10609928282;8,54196493744199;14,895618123269;7,74306701
"2008-01-01 00:00:00";4328,81906776778;3614,2800600917;2816,1686863631;781,33974901137;676,76024243;67,12698911669;54,1206091076429;35,604145950748;9,097862608759;15,57252842158;11,36886704824
"2009-01-01 00:00:00";4258,51814963828;3683,1490352264;2763,2502997949;794,45898300887;667,03657357;72,51936321387;67,8170256434242;37,8002941633;11,088096242149;16,10113196708;13,17405463892
"2010-01-01 00:00:00";4364,88594426428;3943,25523214877;2949,5950196845;837,31576129227;685,19487131;85,07325609938;83,3752131302973;43,32805574259;14,5644749152989;15,89932769198;15,61296436358
"2011-01-01 00:00:00";4375,67548468062;4209,67835653045;3051,9194566137;852,40704118167;656,021434336;90,5523133296;106,596845024017;42,6243645794;22,5385598984119;16,11400744888;19,24004969441
"2012-01-01 00:00:00";4480,98418896878;4375,1203467497;3115,7447562398;891,87305074548;610,96080731;97,5822169127;127,922097406953;43,6635528802;31,805339519327;16,243833832687;20,67503039042
"2013-01-01 00:00:00";4473,56270294678;4399,91343406698;3153,5454732967;923,61267354125;616,00476183;106,26770868708;158,022833660973;46,3667472465;42,718016700184;16,581298413156;23,01967456014
"2014-01-01 00:00:00";4589,23787288278;4394,3127367939;3202,9334616218;947,19312399545;627,66748195;115,337711996979;175,513938854903;48,7205434469;56,158798683204;17,915597986156;25,61069476804
"2015-01-01 00:00:00";4721,27945678448;4275,3858123549;3269,8840982838;944,73603902973;635,89412129;122,52177893283;204,837550672709;50,90869076582;71,1407629868161;18,600853522134;23,47771992685
"2016-01-01 00:00:00";4745,91028122688;4015,8187020031;3302,7953192455;982,83507827783;643,25947473;135,35989074154;233,934887312917;50,42871191779;91,036550853558;18,934039626374;26,46337041255
